phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p	pair	locus	chr	start	stop	trait1	trait2	n_snps	K	trait1_h2_obs	trait2_h2_obs	trait1_univ_P	trait2_univ_P	SE	P	rho_na	rho_out_of_bound	ci_invalid	PILOT_QC_ONLY	NOT_DISCOVERY	warning	pair_fdr	atlas_fdr	bonferroni_sig	atlas_fdr_sig_05	atlas_fdr_sig_10	pair_fdr_sig_05	cumulative_mid_bp	cumulative_mid_mb	domain_axis	MHC_flag	minus_log10_atlas_fdr
CAD	PTSD	0.972874	0.5619	1.0	0.946484	0.31573	1.0	0.000166324	CAD__PTSD	1521	10	32457294	33655458	CAD	PTSD	477	89	5.38234511382593e-05	0.0001124581642928	4.35783e-05	0.000453013	0.111760204081633	0.000166324	False	False	False	False	False		0.0282196386666667	0.0334048547142857	False	True	True	True	1713429519.0	1713.429519	Cardiometabolic__Psychiatric	False	1.4761904127568972
BMI	MDD	1.09251	0.5898	1.0	1.19359	0.34786	1.0	0.000167085	BMI__MDD	1130	7	32460229	33159277	BMI	MDD	420	39	6.57119956667989e-05	2.85709198711592e-05	3.61044e-05	0.00114073	0.104642857142857	0.000167085	False	True	True	False	False		0.0127997752105263	0.0334048547142857	False	True	True	True	1266466780.0	1266.46678	Cardiometabolic__Psychiatric	False	1.4761904127568972
BMI	MDD	0.528197	0.26965	0.79779	0.278992	0.07271	0.63647	0.000168347	BMI__MDD	1657	11	45019560	46316005	BMI	MDD	969	147	0.0002305787274626	0.0001272656080533	1.14664e-13	1.30323e-11	0.134729591836735	0.000168347	False	False	False	False	False		0.0127997752105263	0.0334048547142857	False	True	True	True	1861575672.5	1861.5756725	Cardiometabolic__Psychiatric	False	1.4761904127568972
BMI	MDD	0.518708	0.26651	0.7871	0.269058	0.07103	0.61953	0.000172847	BMI__MDD	1166	7	73128831	75243899	BMI	MDD	297	93	0.0003734236321804	8.2071832122272e-05	1.02434e-30	4.47031e-08	0.132803571428571	0.000172847	False	False	False	False	False		0.0127997752105263	0.0334321334210526	False	True	True	True	1307843392.0	1307.843392	Cardiometabolic__Psychiatric	False	1.4758359086773256
PsA	PTSD	0.864878	0.55046	1.0	0.748014	0.303	1.0	0.000178756	PsA__PTSD	965	6	32586785	32629239	PsA	PTSD	163	15	0.0108795544897271	5.20999660507587e-05	5.539360000000001e-56	0.0012412	0.114678571428571	0.000178756	False	False	False	False	False		0.0018471453333333	0.0334321334210526	False	True	True	True	1095149972.0	1095.149972	Immune__Psychiatric	True	1.4758359086773256
CD	Anxiety	-0.637555	-1.0	-0.31789	0.406477	0.10106	1.0	0.00017924	CD__Anxiety	151	1	196179111	197935821	CD	Anxiety	2197	230	0.0027388035053069	0.0008885258376323	2.88935e-06	2.68901e-10	0.174007653061224	0.00017924	False	False	False	False	False		0.04642316	0.0334321334210526	False	True	True	True	197057466.0	197.057466	Immune__Psychiatric	False	1.4758359086773256
BMI	Anxiety	-0.719312	-1.0	-0.39911	0.51741	0.15929	1.0	0.000180463	BMI__Anxiety	2280	18	51060987	52512523	BMI	Anxiety	1057	77	0.000193562897225	0.0002990283421316	2.77756e-14	6.65681e-05	0.153288265306122	0.000180463	False	False	False	False	False		0.0404571336666667	0.0334321334210526	False	True	True	True	2633153829.0	2633.153829	Cardiometabolic__Psychiatric	False	1.4758359086773256
UC	MDD	-0.723942	-1.0	-0.38442	0.524092	0.14778	1.0	0.000182727	UC__MDD	465	3	50387743	51953968	UC	MDD	1892	134	0.0019529666127988	8.75448281160914e-05	1.77563e-06	2.68229e-07	0.157035714285714	0.000182727	False	False	False	False	False		0.109818927	0.0334321334210526	False	True	True	False	543620849.5	543.6208495	Immune__Psychiatric	False	1.4758359086773256
BMI	Anxiety	0.627178	0.33632	0.97749	0.393352	0.11311	0.95548	0.000182926	BMI__Anxiety	1979	14	46748239	48177483	BMI	Anxiety	1165	115	0.0002227641290256	0.0004432043251304	3.24941e-14	1.93173e-06	0.163563775510204	0.000182926	False	False	False	False	False		0.0404571336666667	0.0334321334210526	False	True	True	True	2247399040.0	2247.39904	Cardiometabolic__Psychiatric	False	1.4758359086773256
UC	T2D	-0.472923	-0.73666	-0.23902	0.223657	0.05713	0.54267	0.000197812	UC__T2D	957	6	30715007	31106493	UC	T2D	2057	109	0.0102971508659077	9.68012406720156e-05	1.2145999999999998e-66	2.86547e-07	0.126948979591837	0.000197812	False	False	False	False	False		0.0044754965	0.0356832296103896	False	True	True	True	1093452710.0	1093.45271	Immune__Cardiometabolic	True	1.447535845481571
BMI	MDD	0.637361	0.31942	1.0	0.40623	0.10203	1.0	0.000202803	BMI__MDD	2408	20	44072211	45673603	BMI	MDD	1256	228	0.0001593757580945	0.0001367061185127	3.20061e-06	5.73009e-10	0.173617346938776	0.000202803	False	False	False	False	False		0.01426719105	0.0361145342307692	False	True	True	True	2763446212.0	2763.446212	Cardiometabolic__Psychiatric	False	1.4423179818645002
T2D	MDD	0.967388	0.49408	1.0	0.93584	0.24411	1.0	0.000212531	T2D__MDD	2102	16	60169	1049079	T2D	MDD	2141	308	7.12374629462094e-05	9.75709201386238e-05	0.00561518	3.85358e-05	0.129061224489796	0.000212531	False	False	False	False	False		0.016443005	0.037367792278481	False	True	True	True	2410371735.0	2410.371735	Cardiometabolic__Psychiatric	False	1.4275025598864108
BMI	MDD	0.405412	0.2038	0.61327	0.164359	0.04153	0.37609	0.000227672	BMI__MDD	464	3	47588462	50387742	BMI	MDD	711	69	0.0004827903600844	0.0001203416732246	9.518459999999999e-49	1.71606e-15	0.104456632653061	0.000227672	False	False	False	False	False		0.0145669268181818	0.039058337037037	False	True	True	True	541438096.0	541.438096	Cardiometabolic__Psychiatric	False	1.4082862513454735
BMI	MDD	0.858951	0.48605	1.0	0.737797	0.23625	1.0	0.00022777	BMI__MDD	626	4	28177793	28927438	BMI	MDD	646	62	0.0001207964713468	3.88961941666496e-05	1.49742e-08	0.000395779	0.131109693877551	0.00022777	False	False	False	False	False		0.0145669268181818	0.039058337037037	False	True	True	True	719025039.5	719.0250395	Cardiometabolic__Psychiatric	False	1.4082862513454735
T2D	MDD	1.16997	0.44732	1.0	1.36883	0.20088	1.0	0.00023659	T2D__MDD	81	1	92904466	94168576	T2D	MDD	1683	167	4.14984493493656e-05	6.46266648832197e-05	0.0221226	0.00017563	0.140989795918367	0.00023659	False	True	True	False	False		0.016443005	0.040076037804878	False	True	True	True	93536521.0	93.536521	Cardiometabolic__Psychiatric	False	1.397115222383775
PsA	MDD	0.74895	0.40946	1.0	0.560927	0.16766	1.0	0.000257811	PsA__MDD	962	6	32208902	32454577	PsA	MDD	1435	43	0.0216758798816495	2.44803584860164e-05	1.10637e-104	0.00663805	0.150647959183673	0.000257811	False	False	False	False	False		0.007580384	0.0431445155421687	False	True	True	True	1094873699.5	1094.8736995	Immune__Psychiatric	True	1.3650744032200481
BMI	PTSD	0.67575	0.3549	1.0	0.456639	0.12595	1.0	0.000263155	BMI__PTSD	209	2	5568654	6306606	BMI	PTSD	748	147	0.0002286991427158	0.0001672808974446	7.2852e-13	8.4816e-05	0.164566326530612	0.000263155	False	False	False	False	False		0.0783324716666667	0.0435145589285714	False	True	True	False	255188251.0	255.188251	Cardiometabolic__Psychiatric	False	1.3613654142066525
PsA	MDD	0.530442	0.26837	0.82457	0.281368	0.07202	0.67991	0.000270728	PsA__MDD	958	6	31106494	31250556	PsA	MDD	1576	36	0.0415127939076396	4.51026042357858e-05	8.21891e-224	6.07007e-06	0.141887755102041	0.000270728	False	False	False	False	False		0.007580384	0.0442401402352941	False	True	True	True	1093720485.0	1093.720485	Immune__Psychiatric	True	1.3541835050460826
BMI	MDD	-0.626018	-1.0	-0.31724	0.391899	0.10064	1.0	0.000274576	BMI__MDD	473	3	60571140	61277587	BMI	MDD	614	121	0.0002753952574825	6.11914128350655e-05	1.9545300000000003e-18	6.40277e-05	0.174173469387755	0.000274576	False	False	False	False	False		0.0167968883478261	0.0443472167441861	False	True	True	True	553374357.5	553.3743575	Cardiometabolic__Psychiatric	False	1.3531336315384983
CAD	MDD	0.762343	0.39638	1.0	0.581168	0.15712	1.0	0.000280999	CAD__MDD	347	2	161432090	163607635	CAD	MDD	678	125	5.07504005421577e-05	0.0001081651445801	0.000549593	4.03942e-10	0.153984693877551	0.000280999	False	False	False	False	False		0.032595884	0.0448629437931035	False	True	True	True	411770483.5	411.7704835	Cardiometabolic__Psychiatric	False	1.3481122325106367
T2D	PTSD	0.780304	0.37533	1.0	0.608874	0.14088	1.0	0.000303212	T2D__PTSD	1427	9	81161598	82601465	T2D	PTSD	2658	475	0.0001560212040555	0.0002466311570029	7.20375e-06	0.000484548	0.159354591836735	0.000303212	False	False	False	False	False		0.064280944	0.047417219	False	True	True	False	1621041243.5	1621.0412435	Cardiometabolic__Psychiatric	False	1.3240639208000737
BMI	MDD	0.881567	0.43724	1.0	0.777161	0.19118	1.0	0.000304459	BMI__MDD	573	3	172004761	173415591	BMI	MDD	946	193	0.0002587156713811	3.45808808702853e-05	3.77274e-13	0.0282544	0.143561224489796	0.000304459	False	False	False	False	False		0.01729141092	0.047417219	False	True	True	True	665160170.0	665.16017	Cardiometabolic__Psychiatric	False	1.3240639208000737
BMI	MDD	0.629983	0.31857	1.0	0.396879	0.10149	1.0	0.000307239	BMI__MDD	209	2	5568654	6306606	BMI	MDD	809	155	0.0002317506766963	7.44151704393882e-05	9.45107e-13	1.60071e-05	0.173834183673469	0.000307239	False	False	False	False	False		0.01729141092	0.047417219	False	True	True	True	255188251.0	255.188251	Cardiometabolic__Psychiatric	False	1.3240639208000737
UC	CAD	-0.671703	-1.0	-0.33001	0.451185	0.10891	1.0	0.000319014	UC__CAD	2071	15	67396521	69089815	UC	CAD	682	169	0.0015093960263662	0.0001494764699347	0.000344009	1.07511e-13	0.170915816326531	0.000319014	False	False	False	False	False		0.12601053	0.0484837998913044	False	True	True	False	2375528887.0	2375.528887	Immune__Cardiometabolic	False	1.314403349915325
PsA	Anxiety	0.591528	0.30958	0.9467	0.349905	0.09584	0.89624	0.000321131	PsA__Anxiety	962	6	32208902	32454577	PsA	Anxiety	1682	42	0.0213255906553073	0.0002626685098731	4.1297399999999997e-103	6.06359e-05	0.162530612244898	0.000321131	False	False	False	False	False		0.0191072945	0.0484837998913044	False	True	True	True	1094873699.5	1094.8736995	Immune__Psychiatric	True	1.314403349915325
BMI	MDD	1.01841	0.54335	1.0	1.03716	0.29523	1.0	0.000332898	BMI__MDD	1921	13	81724090	82582821	BMI	MDD	750	93	6.03362499252351e-05	5.39906299771585e-05	0.00340699	6.47999e-05	0.116492346938776	0.000332898	False	True	True	False	False		0.0180149033076923	0.0497199270967742	False	True	True	True	2166919756.5	2166.9197565	Cardiometabolic__Psychiatric	False	1.3034695168262878
